ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,Lat,Lng,Count
54,San Diego,San Diego Open,19/9/22,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Popyrin A.,83,90,637,584,7,5,4,6,6,1,,,,,2,1,Completed,1.8,2,1.81,2.09,1.85,2.09,1.8,1.99,32.831,-117.122,27.000
55,Seoul,Korea Open,26/9/22,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Watanuki Y.,59,227,814,224,2,1,,,,,,,,,0,0,Retired,1.44,2.75,1.58,2.51,1.58,2.77,1.5,2.57,37.560,126.990,27.000
56,Sofia,Sofia Open,26/9/22,ATP250,Indoor,Hard,1st Round,3,Majchrzak K.,Berankis R.,119,120,457,446,7,5,6,2,,,,,,,2,0,Completed,2.2,1.66,2.11,1.8,2.32,1.8,2.19,1.66,42.700,23.330,27.000
57,Tel Aviv,Tel Aviv Open,26/9/22,ATP250,Indoor,Hard,1st Round,3,Safiullin R.,Grenier H.,104,97,506,554,3,6,6,4,6,2,,,,,2,1,Completed,2,1.8,1.89,2,2.05,2,1.92,1.86,32.085,34.782,27.000
58,Nur-Sultan,Astana Open,3/10/22,ATP500,Indoor,Hard,1st Round,3,Van De Zandschulp B.,Zhukayev B.,34,327,1233,147,6,1,6,1,,,,,,,2,0,Completed,1.08,8,1.1,8.8,1.12,9,1.09,7.36,51.147,71.422,31.000
59,Tokyo,Rakuten Japan Open Tennis Championships,3/10/22,ATP500,Outdoor,Hard,1st Round,3,Martinez P.,Popyrin A.,68,93,745,584,7,5,6,4,,,,,,,2,0,Completed,2.1,1.72,2.16,1.77,2.16,1.95,2.06,1.75,35.690,139.692,31.000
60,Florence,Firenze Open,10/10/22,ATP250,Indoor,Hard,1st Round,3,Karatsev A.,Griekspoor T.,39,54,1085,888,6,3,2,1,,,,,,,1,0,Retired,2.37,1.57,2.35,1.66,2.4,1.72,2.3,1.6,43.771,11.254,27.000
61,Gijon,Gijon Open,10/10/22,ATP250,Indoor,Hard,1st Round,3,Monteiro T.,Bonzi B.,65,67,793,781,6,4,7,5,,,,,,,2,0,Completed,3.2,1.36,3.53,1.34,3.85,1.36,3.36,1.31,43.532,-5.661,27.000
62,Antwerp,European Open,17/10/22,ATP250,Indoor,Hard,1st Round,3,Draper J.,Brooksby J.,48,41,961,1047,6,1,6,2,,,,,,,2,0,Completed,2,1.8,2.16,1.77,2.2,1.88,2.03,1.77,51.218,4.400,58.000
63,Napoli,Napoli Cup,18/10/22,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Martinez P.,95,59,564,810,6,3,6,3,,,,,,,2,0,Completed,1.72,2.1,1.74,2.21,1.75,2.21,1.71,2.11,40.852,14.268,27.000
64,Stockholm,Stockholm Open,17/10/22,ATP250,Indoor,Hard,1st Round,3,Cressy M.,Ivashka I.,33,70,1257,730,4,6,7,6,6,4,,,,,2,1,Completed,2.5,1.53,2.43,1.62,2.61,1.62,2.43,1.54,59.329,18.069,27.000
65,Basel,Swiss Indoors,24/10/22,ATP500,Indoor,Hard,1st Round,3,Nakashima B.,Goffin D.,44,53,982,870,2,6,7,6,6,4,,,,,2,1,Completed,1.5,2.62,1.49,2.8,1.54,2.83,1.47,2.66,47.555,7.591,31.000
66,Vienna,Vienna Open,24/10/22,ATP500,Indoor,Hard,1st Round,3,Khachanov K.,Wolf J.J.,18,56,1945,840,7,6,7,5,,,,,,,2,0,Completed,1.44,2.75,1.51,2.73,1.51,2.9,1.46,2.68,48.208,16.373,31.000
67,Paris,BNP Paribas Masters,31/10/22,Masters 1000,Indoor,Hard,1st Round,3,Isner J.,Otte O.,47,57,960,806,6,4,7,6,,,,,,,2,0,Completed,2,1.8,2.28,1.69,2.28,1.87,2.13,1.71,48.857,2.352,55.000
68,Turin,Masters Cup,13/11/22,Masters Cup,Indoor,Hard,Round Robin,,Ruud C.,Auger-Aliassime F.,4,6,5020,3995,7,6,6,4,,,,,,,2,0,Completed,3.2,1.36,3.12,1.42,3.32,1.42,3.06,1.37,45.079,7.676,15.000
